sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
aar115543,,Default,simple,"Default Category/category/Hair Care/Conditioner,Default Category/Brands/Rainbow Research",base,Rainbow Research Herbal Conditioner Henna and Biotin - 8 fl oz, <b> Rainbow Research Herbal Conditioner Henna and Biotin <b>Description</b> </b> <ul> <br> For Normal or Color Treated Hair <br> Marigold <br>Chamomile <br>Soy <br> Lemon Grass <br>Aloe Vera <br>Vitamin E <br> pH Balanced <br>Oil Free</LI></UL> <p>Rainbow Henna and Biotin Conditioner is perfect for Natural or Color Treated Hair Enhances shine detangles and moisturizes the hair without heavy oils Can be used on normal damaged bleached permed or chemically colored hair</P> <p> </P> <p>Our Neutral Henna Extract combined with Organic Herbal Extracts provides all of the great benefits of Henna without the color Biotin helps strengthen the hair shaft and supports new hair growth Your hair will be left feeling and looking healthier with added body and shine Made with Organic Extracts of Marigold Chamomile Lemon Grass Soy Aloe Vera plus Vitamin E</P> Free Of Oil animal cruelty Disclaimer These statements have not been evaluated by the FDA These products are not intended to diagnose treat cure or prevent any disease<br><br>Gluten Free<br>Hair Care<br>Conditioner,<img src='https://www.thenaturallyhealthy.com/payment-accept.png'/>,0.6,1,0,"Catalog, Search",11.8044,9.837,,,,Rainbow Research Herbal Conditioner Henna and Biotin - 8 fl oz,Rainbow Research Herbal Conditioner Henna and Biotin - 8 fl oz,Rainbow Research Herbal Conditioner Henna and Biotin - 8 fl oz,http://honestgreen.http.internapcdn.net/HonestGreen/Images/518800079.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/518800079.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/518800079.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/518800079.jpg,,"11/3/18, 10:50 AM","11/16/18, 11:47 AM",,,Block after Info Column,,,,Use config,,,,,,,,,is_featured=1,96,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"http://honestgreen.http.internapcdn.net/HonestGreen/Images/518800079.jpg,http://honestgreen.http.internapcdn.net/HonestGreen/Images/518800079_BACK.jpg",,,,,,,,,,,,
aar796516,,Default,simple,"Default Category/category/Hair Care/Conditioner,Default Category/Brands/Rainbow Research",base,Rainbow Research Organic Herbal Detangling Conditioner For Kids Creamy Vanilla - 8.5 fl oz, <b> Rainbow Research Organic Herbal Detangling Conditioner For Kids Creamy Vanilla <b>Description</b> </b> <ul> <br>Lightly Scented Formula <br>Great for Kids Babies and Adults too <br>Organic Herbal Extracts</LI> <br>Hypoallergenic</LI></UL> Rainbow Detangling Cream Conditioner is the gentle way to comb out snarls and tangles Perfect for curly straight or long hair Detangles and conditions in one easy step Made with Certified Organic Herbal Extracts Free Of Artificial color allergens and animal ingredients Disclaimer These statements have not been evaluated by the FDA These products are not intended to diagnose treat cure or prevent any disease<br><br>Hair Care<br>Conditioner,<img src='https://www.thenaturallyhealthy.com/payment-accept.png'/>,0.63,1,0,"Catalog, Search",11.8044,9.837,,,,Rainbow Research Organic Herbal Detangling Conditioner For Kids Creamy Vanilla - 8.5 fl oz,Rainbow Research Organic Herbal Detangling Conditioner For Kids Creamy Vanilla - 8.5 fl oz,Rainbow Research Organic Herbal Detangling Conditioner For Kids Creamy Vanilla - 8.5 fl oz,http://honestgreen.http.internapcdn.net/HonestGreen/Images/518600228.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/518600228.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/518600228.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/518600228.jpg,,"11/3/18, 10:50 AM","11/16/18, 11:47 AM",,,Block after Info Column,,,,Use config,,,,,,,,,is_featured=1,87,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"http://honestgreen.http.internapcdn.net/HonestGreen/Images/518600228.jpg,http://honestgreen.http.internapcdn.net/HonestGreen/Images/518600228_BACK.jpg",,,,,,,,,,,,
aar677021,,Default,simple,"Default Category/category/Hair Care/Conditioner,Default Category/Brands/Rainbow Research",base,Rainbow Research Colorless Conditioner Persian Neutral - 4 oz, <b> Rainbow Research Colorless Conditioner Persian Neutral <b>Description</b> </b> <ul> <br>100% Botanical Hair Color and Conditioner <br>Color Lasts 46 Weeks <br>Adds Shine and Fullness</LI></UL> <p>Rainbow Henna<br>Rainbow Henna has no additives chemicals or pesticides Rainbow Henna coats each hair shaft with color Blends naturally Fades gradually Lasts 46 weeks Smoothes and seals the hair s cuticle for greater shine and body Our customtailored recipes can be used for special effects covering grey and improving texture<br>Note Henna has no lightening action</P> <p>History of Henna<br>Secrets of beauty have been cherished throughout the ages One of the oldest beautifiers known is Henna Famous beauties such as Nefertiti and Cleopatra used Henna to enhance their hair coloring Silent film stars Theda Bara and Clara Bow colored their hair with Henna to add to their mystery Today Henna is used by women and men who understand how to be naturally beautiful</P> Free Of Chemicals additives and pesticides Disclaimer These statements have not been evaluated by the FDA These products are not intended to diagnose treat cure or prevent any disease<br><br>Hair Care<br>Conditioner,<img src='https://www.thenaturallyhealthy.com/payment-accept.png'/>,0.33,1,0,"Catalog, Search",13.1004,10.917,,,,Rainbow Research Colorless Conditioner Persian Neutral - 4 oz,Rainbow Research Colorless Conditioner Persian Neutral - 4 oz,Rainbow Research Colorless Conditioner Persian Neutral - 4 oz,http://honestgreen.http.internapcdn.net/HonestGreen/Images/518400101.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/518400101.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/518400101.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/518400101.jpg,,"11/3/18, 10:50 AM","11/16/18, 11:47 AM",,,Block after Info Column,,,,Use config,,,,,,,,,is_featured=1,122,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"http://honestgreen.http.internapcdn.net/HonestGreen/Images/518400101.jpg,http://honestgreen.http.internapcdn.net/HonestGreen/Images/518400101_BACK.jpg",,,,,,,,,,,,
aar1543826,,Default,simple,"Default Category/category/Hair Care/Conditioner,Default Category/Brands/Real Aloe Inc.",base,Real Aloe Inc. Conditioner - Real Aloe - 16 fl oz,Real Aloe Vera Conditioner is one of our newest products Made with hand filleted Aloe the same way when we started the business in 1972 Mild every day formula with Argan Oil and Oat Beta Glucan For all hair types sensitive scalps and damaged hair Beautiful hair naturally and safe for children Natural and botanical ingredients guaranteed Real Aloe Inc Products are 100% Grown and Bottled in the USA In fact it is one of the only products on the market that is Many others are made in China Korea and Mexico<br><br>Gluten Free<br>Dairy Free<br>Yeast Free<br>Vegan<br>Hair Care<br>Conditioner<br>Wheat Free,<img src='https://www.thenaturallyhealthy.com/payment-accept.png'/>,1.11,1,0,"Catalog, Search",24.8292,20.691,,,,Real Aloe Inc. Conditioner - Real Aloe - 16 fl oz,Real Aloe Inc. Conditioner - Real Aloe - 16 fl oz,Real Aloe Inc. Conditioner - Real Aloe - 16 fl oz,http://honestgreen.http.internapcdn.net/HonestGreen/Images/38435411207.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/38435411207.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/38435411207.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/38435411207.jpg,,"11/3/18, 10:50 AM","11/16/18, 11:47 AM",,,Block after Info Column,,,,Use config,,,,,,,,,is_featured=1,4,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"http://honestgreen.http.internapcdn.net/HonestGreen/Images/38435411207.jpg,http://honestgreen.http.internapcdn.net/HonestGreen/Images/38435411207_BACK.jpg",,,,,,,,,,,,
aar445213,,Default,simple,"Default Category/category/Hair Care/Conditioner,Default Category/Brands/Shikai Products",base,Shikai Products Color Reflect Daily Moisture Conditioner  8 Fluid Ounce, <b> Shikai Color Reflect Daily Moisture Conditioner <b>Description</b> </b> <ul> <br> Weightless Body and Shine with Natural Color Protection</LI> <br> For All Hair Types and Colors</LI></UL> <p>Hair becomes shinier easier to manage and fullbodied This light natural conditioner gives hair its daily dose of moisture with glycerin panthenol and shea butter <ul> <br>Moisturizes and nourishes hair with glycerin and panthenol provitamin B5 <br>Extends the life of color treatments with natural sunflower extract Heliogenol and UV filters <br>Detangles and leaves a brilliant shine </LI></UL> Free Of Animal ingredients Disclaimer These statements have not been evaluated by the FDA These products are not intended to diagnose treat cure or prevent any disease<br><br>Hair Care<br>Conditioner,<img src='https://www.thenaturallyhealthy.com/payment-accept.png'/>,0.58,1,0,"Catalog, Search",14.1372,11.781,,,,Shikai Products Color Reflect Daily Moisture Conditioner  8 Fluid Ounce,Shikai Products Color Reflect Daily Moisture Conditioner  8 Fluid Ounce,Shikai Products Color Reflect Daily Moisture Conditioner  8 Fluid Ounce,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738313600.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738313600.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738313600.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738313600.jpg,,"11/3/18, 10:50 AM","11/16/18, 11:47 AM",,,Block after Info Column,,,,Use config,,,,,,,,,is_featured=1,191,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738313600.jpg,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738313600_BACK.jpg",,,,,,,,,,,,
aar471755,,Default,simple,"Default Category/category/Hair Care/Conditioner,Default Category/Brands/Shikai Products",base,Shikai Products Tea Tree Conditioner - Case of 24 - 2 oz - 0471755,Tea Tree Also contains amia for extra shine and manageability These products are plant based low detergent naturally pH balanced extra gentle and leave incredible shine and manageability The secret is nature s own natural soapfree cleanser wildcrafted shikakai Our special Shikakai Extract is the primary sudsing agent and provides rich gentle cleansing so we can use less detergent and offer these gentler shampoos A blend of aloe vera and panthenol provides extra moisturizing and conditioning These shampoos won t strip the hair of the natural oils which are so important to healthy hair and scalp and it s gentle enough for the whole family to use everyday Available in a formula for every hair type and a special conditioner made with amla for extra shine Our Tea Tree Shampoo and Conditioner are our most recent additions to this line Try these to wake up your senses in the morning and add pizzazz to your bathing experience<br><br>Hair Care<br>Conditioner,<img src='https://www.thenaturallyhealthy.com/payment-accept.png'/>,4.05,1,0,"Catalog, Search",59.0436,49.203,,,,Shikai Products Tea Tree Conditioner - Case of 24 - 2 oz - 0471755,Shikai Products Tea Tree Conditioner - Case of 24 - 2 oz - 0471755,Shikai Products Tea Tree Conditioner - Case of 24 - 2 oz - 0471755,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303199.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303199.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303199.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303199.jpg,,"11/3/18, 10:50 AM","11/16/18, 11:47 AM",,,Block after Info Column,,,,Use config,,,,,,,,,is_featured=1,7,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303199.jpg,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303199_BACK.jpg",,,,,,,,,,,,
aar808907,,Default,simple,"Default Category/category/Hair Care/Conditioner,Default Category/Brands/Shikai Products",base,Shikai Everyday Conditioner with Amla for Body & Shine - 12 oz, <b> Shikai Natural Everyday Conditioner <b>Description</b> </b> Contains Amla for Healthy Shiny and Manageable Hair Rich in Organic Ingredients for All Hair Types This nutrientrich light conditioner can be used everyday with all Shikai shampoos It provides manageable easy combout and a healthy shine It won t weigh down hair and can be used with all hair types<br>The secret is nature s own conditioner Amla <i>wildcrafted botanical organically grown and sustainably harvested</I> is the edible fruit of a large tree that grows throughout East Asia For centuries the women of this region have prized the oil obtained from this fruit for keeping their hair healthy and shiny <ul> <br>Rich in natural oils <br>Certified Organic aloe <br>No animal ingredients <br>No animal testing</LI></UL><br> Disclaimer These statements have not been evaluated by the FDA These products are not intended to diagnose treat cure or prevent any disease<br><br>Hair Care<br>Conditioner,<img src='https://www.thenaturallyhealthy.com/payment-accept.png'/>,0.87,1,0,"Catalog, Search",20.0232,16.686,,,,Shikai Everyday Conditioner with Amla for Body & Shine - 12 oz,Shikai Everyday Conditioner with Amla for Body & Shine - 12 oz,Shikai Everyday Conditioner with Amla for Body & Shine - 12 oz,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303052.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303052.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303052.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303052.jpg,,"11/3/18, 10:50 AM","11/16/18, 11:47 AM",,,Block after Info Column,,,,Use config,,,,,,,,,is_featured=1,106,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303052.jpg,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303052_BACK.jpg",,,,,,,,,,,,
aar870071,,Default,simple,"Default Category/category/Hair Care/Conditioner,Default Category/Brands/Shikai Products",base,Shikai Natural Everyday Conditioner - 2 fl oz - Case of 24, <b> Shikai Natural Everyday Conditioner <b>Description</b> </b> Natural This rich and concentrated conditioner provides easy combout and added body Wildcrafted Amla adds extra shine and manageability Use it with all Shikai Shampoos Natural fragrance For all types of hair Free Of Animal ingredients and testing Disclaimer These statements have not been evaluated by the FDA These products are not intended to diagnose treat cure or prevent any disease<br><br>Hair Care<br>Conditioner,<img src='https://www.thenaturallyhealthy.com/payment-accept.png'/>,3,1,0,"Catalog, Search",59.0436,49.203,,,,Shikai Natural Everyday Conditioner - 2 fl oz - Case of 24,Shikai Natural Everyday Conditioner - 2 fl oz - Case of 24,Shikai Natural Everyday Conditioner - 2 fl oz - Case of 24,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303151.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303151.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303151.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303151.jpg,,"11/3/18, 10:50 AM","11/16/18, 11:47 AM",,,Block after Info Column,,,,Use config,,,,,,,,,is_featured=1,15,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303151.jpg,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303151_BACK.jpg",,,,,,,,,,,,
aar471607,,Default,simple,"Default Category/category/Hair Care/Conditioner,Default Category/Brands/Shikai Products",base,ShiKai - Tea Tree Conditioner  Made With Essential Oils Of Peppermint & Tea Tree To Refresh & Stimulate Hair & Scalp  Soap-Free Alternative  12 Ounce , <b> Shikai Natural Tea Tree Conditioner <b>Description</b> </b> <ul> <br> Nourishes and Soothes The Hair and Scalp <br> Rich in Avocado Jojoba and Amla Oils</LI></UL> <p>Wake Up Your Senses with this extramoisturizing natural conditioner Formulated with jojoba amla and avocado oils to moisturize and with tea tree and peppermint oils to revitalize Shikai Tea Tree Conditioner will leave your hair silky soft shiny and easily manageable</P> <p> </P> <p>Provides extra moisturization</P> <p>Helps clear flaky and irritated scalp</P> <p>Leaves hair silky soft</P> <p>Mild enough for entire family</P> Disclaimer These statements have not been evaluated by the FDA These products are not intended to diagnose treat cure or prevent any disease<br><br>Hair Care<br>Conditioner,<img src='https://www.thenaturallyhealthy.com/payment-accept.png'/>,0.87,1,0,"Catalog, Search",20.6172,17.181,,,,ShiKai - Tea Tree Conditioner  Made With Essential Oils Of Peppermint & Tea Tree To Refresh & Stimulate Hair & Scalp  Soap-Free Alternative  12 Ounce ,ShiKai - Tea Tree Conditioner  Made With Essential Oils Of Peppermint & Tea Tree To Refresh & Stimulate Hair & Scalp  Soap-Free Alternative  12 Ounce ,ShiKai - Tea Tree Conditioner  Made With Essential Oils Of Peppermint & Tea Tree To Refresh & Stimulate Hair & Scalp  Soap-Free Alternative  12 Ounce ,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303090.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303090.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303090.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303090.jpg,,"11/3/18, 10:50 AM","11/16/18, 11:47 AM",,,Block after Info Column,,,,Use config,,,,,,,,,is_featured=1,104,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303090.jpg,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738303090_BACK.jpg",,,,,,,,,,,,
aar445221,,Default,simple,"Default Category/category/Hair Care/Conditioner,Default Category/Brands/Shikai Products",base,ShiKai - Color Reflect Mist & Go Conditioner  Spray On & Leave-In  Adds Shine & Detangles  Moisturizing & De-Frizzing Plant-Based Salon Quality Natural Hair Care  Unscented  8 Ounces , <b> Shikai Color Reflect Mist and Go Conditioner <b>Description</b> </b> <ul> <br>Add Shine Detangle or Get a MidDay Lift</LI></UL> <p>This natural sprayon conditioner uses panthenol and soy protein to detangle damp hair or to refresh and defrizz hair midday</P> <p> </P> <p>Natural sunflower extract Heliogenol and UV filters extend the life of color treatments Glycerin and panthenol provitamin B5 moisturize and nourish hair </P> Free Of Animal ingredients and animal testing Disclaimer These statements have not been evaluated by the FDA These products are not intended to diagnose treat cure or prevent any disease<br><br>Hair Care<br>Conditioner,<img src='https://www.thenaturallyhealthy.com/payment-accept.png'/>,0.65,1,0,"Catalog, Search",14.1372,11.781,,,,ShiKai - Color Reflect Mist & Go Conditioner  Spray On & Leave-In  Adds Shine & Detangles  Moisturizing & De-Frizzing Plant-Based Salon Quality Natural Hair Care  Unscented  8 Ounces ,ShiKai - Color Reflect Mist & Go Conditioner  Spray On & Leave-In  Adds Shine & Detangles  Moisturizing & De-Frizzing Plant-Based Salon Quality Natural Hair Care  Unscented  8 Ounces ,ShiKai - Color Reflect Mist & Go Conditioner  Spray On & Leave-In  Adds Shine & Detangles  Moisturizing & De-Frizzing Plant-Based Salon Quality Natural Hair Care  Unscented  8 Ounces ,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738313617.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738313617.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738313617.jpg,,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738313617.jpg,,"11/3/18, 10:50 AM","11/16/18, 11:47 AM",,,Block after Info Column,,,,Use config,,,,,,,,,is_featured=1,86,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738313617.jpg,http://honestgreen.http.internapcdn.net/HonestGreen/Images/81738313617_BACK.jpg",,,,,,,,,,,,
